"id","date","lc","lon","lat"
"15",2016-09-11 06:32:05,"2",-69.4402,41.7222
"15",2016-09-11 06:39:26,"2",-69.44,41.722
"15",2016-09-11 08:18:21,"2",-69.4271,41.7057
"15",2016-09-11 08:22:38,"2",-69.427,41.706
"15",2016-09-11 09:16:45,"2",-69.4004,41.7064
"15",2016-09-11 09:20:33,"2",-69.4,41.706
"15",2016-09-11 09:56:26,"1",-69.3973,41.7076
"15",2016-09-11 09:58:54,"1",-69.397,41.708
"15",2016-09-11 10:13:21,"B",-69.3945,41.7073
"15",2016-09-11 12:29:08,"B",-69.3677,41.7138
"15",2016-09-11 12:29:09,"B",-69.368,41.714
"15",2016-09-11 13:46:09,"B",-69.2396,41.6869
"15",2016-09-11 14:32:00,"1",-69.183,41.647
"15",2016-09-11 14:32:26,"1",-69.1829,41.6474
"15",2016-09-11 16:57:55,"A",-69.1188,41.6659
"15",2016-09-11 16:57:56,"A",-69.119,41.666
"15",2016-09-11 19:58:27,"B",-69.058,41.592
"15",2016-09-11 20:00:03,"B",-69.058,41.5921
"15",2016-09-11 22:10:03,"0",-69.0525,41.617
"15",2016-09-11 22:10:04,"0",-69.052,41.617
"15",2016-09-11 23:56:06,"B",-69.092,41.5985
"15",2016-09-12 00:14:29,"B",-69.0919,41.599
"15",2016-09-12 00:47:38,"0",-69.1072,41.5687
"15",2016-09-12 00:49:43,"0",-69.107,41.569
"15",2016-09-12 01:03:07,"2",-69.112,41.5662
"15",2016-09-12 01:08:56,"2",-69.112,41.566
"15",2016-09-12 01:54:39,"A",-69.1015,41.5605
"15",2016-09-12 02:00:36,"A",-69.102,41.56
"15",2016-09-12 02:40:19,"3",-69.1297,41.544
"15",2016-09-12 02:40:43,"3",-69.13,41.544
"15",2016-09-13 09:35:29,"A",-69.057,41.247
"15",2016-09-13 09:53:35,"1",-69.06,41.249
"15",2016-09-13 10:24:00,"B",-69.021,41.248
"15",2016-09-13 12:08:30,"B",-68.986,41.241
"15",2016-09-13 12:46:24,"B",-68.978,41.237
"15",2016-09-13 13:04:56,"A",-69.008,41.28
"15",2016-09-13 13:44:34,"B",-68.994,41.276
"15",2016-09-13 13:58:13,"B",-68.955,41.268
"15",2016-09-13 14:43:52,"A",-68.947,41.285
"15",2016-09-13 15:29:32,"B",-68.937,41.286
"15",2016-09-13 17:38:21,"B",-68.881,41.271
"15",2016-09-14 01:16:06,"1",-68.835,41.345
"15",2016-09-14 01:24:33,"1",-68.835,41.345
"15",2016-09-14 01:56:42,"A",-68.845,41.352
"15",2016-09-14 03:01:10,"B",-68.831,41.362
"15",2016-09-14 07:48:22,"B",-68.788,41.397
"15",2016-09-14 12:21:03,"B",-68.78,41.4
"15",2016-09-14 12:36:56,"A",-68.744,41.42
"15",2016-09-14 13:30:39,"A",-68.737,41.435
"15",2016-09-14 13:31:23,"B",-68.737,41.435
"15",2016-09-15 00:01:07,"3",-68.533,41.418
"15",2016-09-15 00:50:31,"2",-68.491,41.412
"15",2016-09-15 00:54:45,"2",-68.493,41.413
"15",2016-09-15 01:37:00,"1",-68.478,41.401
"15",2016-09-15 07:28:09,"3",-68.444,41.333
"15",2016-09-16 00:25:37,"1",-68.517,41.63
"15",2016-09-16 01:27:27,"B",-68.518,41.645
"15",2016-09-16 03:03:25,"2",-68.558,41.69
"15",2016-09-16 07:22:14,"2",-68.593,41.696
"15",2016-09-16 08:25:09,"2",-68.595,41.718
"15",2016-09-17 00:56:06,"3",-68.733,41.726
"15",2016-09-17 01:53:38,"B",-68.736,41.732
"15",2016-09-17 02:35:29,"3",-68.75,41.714
"15",2016-09-17 13:14:57,"B",-68.795,41.63
"15",2016-09-17 15:46:57,"B",-68.848,41.624
"15",2016-09-17 18:31:59,"B",-69.009,41.541
"15",2016-09-17 22:26:24,"A",-69.222,41.255
"15",2016-09-17 22:40:28,"2",-69.21,41.25
"15",2016-09-18 00:35:19,"B",-69.285,41.212
"15",2016-09-18 01:01:28,"B",-69.301,41.226
"15",2016-09-18 01:33:20,"1",-69.378,41.247
"15",2016-09-18 07:04:04,"B",-69.677,41.342
"15",2016-09-18 08:36:38,"1",-69.373,41.143
"15",2016-09-18 08:55:40,"3",-69.367,41.144
"15",2016-09-18 09:00:55,"1",-69.349,41.144
"15",2016-09-18 12:47:13,"B",-69.271,41.025
"15",2016-09-18 13:47:31,"B",-69.28,40.993
"15",2016-09-18 18:20:44,"1",-69.297,41.232
"15",2016-09-18 20:53:07,"A",-69.289,41.113
"15",2016-09-18 22:28:36,"B",-69.286,41.079
"15",2016-09-18 23:45:27,"B",-69.276,41.063
"15",2016-09-19 00:14:32,"B",-69.338,41.074
"15",2016-09-19 00:30:17,"1",-69.297,41.113
"15",2016-09-19 01:09:05,"1",-69.285,41.129
"15",2016-09-19 01:54:20,"A",-69.296,41.139
"15",2016-09-19 02:50:01,"B",-69.297,41.187
"15",2016-09-19 03:39:02,"A",-69.251,41.213
"15",2016-09-19 06:46:41,"2",-69.298,41.283
"15",2016-09-20 00:52:12,"B",-69.302,41.293
"15",2016-09-20 01:42:07,"B",-69.295,41.304
"15",2016-09-20 16:24:40,"B",-69.089,41.477
"15",2016-09-20 18:03:37,"1",-69.17,41.251
"15",2016-09-20 19:36:07,"B",-69.178,41.212
"15",2016-09-20 19:38:54,"1",-69.079,41.301
"15",2016-09-21 01:05:12,"B",-69.108,41.164
"15",2016-09-21 01:14:36,"2",-69.181,41.196
